METHOD,AGENTNUM,ITERNUM,SOURCE,SCORE,TIME
OpenMP,5,20,cleavland.csv,0.541254,10.033505
Sequential,5,30,cleavland.csv,0.541254,13.744028
MPI,5,30,cleavland.csv,0.541254,2.846819
OpenMP,5,30,cleavland.csv,0.541254,8.349043
Sequential,5,40,cleavland.csv,0.541254,55.205694
MPI,5,40,cleavland.csv,0.541254,7.215594
OpenMP,5,40,cleavland.csv,0.541254,15.914450
Sequential,5,50,cleavland.csv,0.541254,43.686803
MPI,5,50,cleavland.csv,0.541254,5.043671
OpenMP,5,50,cleavland.csv,0.541254,14.820012
Sequential,5,60,cleavland.csv,0.541254,14.141329
MPI,5,60,cleavland.csv,0.541254,5.218554
OpenMP,5,60,cleavland.csv,0.541254,20.011557
Sequential,5,70,cleavland.csv,0.541254,14.543958
MPI,5,70,cleavland.csv,0.541254,9.733418
OpenMP,5,70,cleavland.csv,0.541254,18.076219
Sequential,5,80,cleavland.csv,0.541254,31.505802
MPI,5,80,cleavland.csv,0.541254,10.738399
OpenMP,5,80,cleavland.csv,0.541254,39.890827
Sequential,5,90,cleavland.csv,0.541254,87.555218
MPI,5,90,cleavland.csv,0.541254,14.953791
OpenMP,5,90,cleavland.csv,0.541254,25.562299
Sequential,5,100,cleavland.csv,0.541254,30.291173
MPI,5,100,cleavland.csv,0.541254,12.941494
OpenMP,5,100,cleavland.csv,0.541254,33.320178
Sequential,5,10,cleavland-9.csv,0.555556,0.014279
MPI,5,10,cleavland-9.csv,0.555556,0.005183
OpenMP,5,10,cleavland-9.csv,0.555556,0.010393
Sequential,5,10,cleavland-100.csv,0.250000,0.135823
MPI,5,10,cleavland-100.csv,0.250000,0.072249
OpenMP,5,10,cleavland-100.csv,0.250000,0.254713
Sequential,5,10,cleavland-600.csv,0.246667,19.643092
MPI,5,10,cleavland-600.csv,0.246667,1.211364
OpenMP,5,10,cleavland-600.csv,0.246667,2.788139
Sequential,5,10,cleavland-1000.csv,0.221000,30.091758
MPI,5,10,cleavland-1000.csv,0.217000,3.200799
OpenMP,5,10,cleavland-1000.csv,0.217000,14.731472
